epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4408,0.78743,3.78893,1.2844,0.00806,1,0.30947,0.25384,0.58494,3.2656,1.15805,0.000204973,0.000204973,0.000204973
2,25.4556,0.70274,3.27742,1.23007,0.66072,0.35858,0.45539,0.35034,0.77852,2.24312,1.34953,0.000409215,0.000409215,0.000409215
3,36.2741,0.7556,2.70921,1.23602,0.47743,0.56567,0.5749,0.43889,0.89736,1.67933,1.50522,0.000609331,0.000609331,0.000609331
4,46.0641,0.77451,2.17543,1.22936,0.453,0.71515,0.6505,0.4906,0.83469,1.97446,1.44116,0.000606437,0.000606437,0.000606437
5,55.9845,0.76219,1.94656,1.21913,0.67372,0.62764,0.74051,0.60218,0.8122,2.11697,1.35352,0.00060025,0.00060025,0.00060025
6,64.4567,0.78183,1.78626,1.24112,0.82506,0.73074,0.7896,0.55714,0.86741,2.03336,1.4824,0.000594062,0.000594062,0.000594062
7,74.9977,0.71064,1.57537,1.17646,0.78048,0.85993,0.88102,0.70356,0.75871,1.7345,1.38069,0.000587875,0.000587875,0.000587875
8,85.0667,0.68259,1.44972,1.16742,0.67154,0.96962,0.94198,0.69374,0.80191,1.13701,1.35064,0.000581687,0.000581687,0.000581687
9,95.1077,0.68221,1.366,1.15543,0.81048,0.7995,0.80498,0.63179,0.76692,1.07274,1.31785,0.0005755,0.0005755,0.0005755
10,105.166,0.65534,1.29228,1.13636,0.91285,0.91134,0.97084,0.78377,0.67906,0.96315,1.21995,0.000569313,0.000569313,0.000569313
11,115.232,0.67588,1.23132,1.14991,0.75022,0.86977,0.88915,0.71571,0.79763,1.06044,1.28015,0.000563125,0.000563125,0.000563125
12,123.708,0.66378,1.26718,1.14809,0.85834,0.87842,0.90347,0.63079,0.86685,1.0037,1.35816,0.000556938,0.000556938,0.000556938
13,132.818,0.62811,1.12605,1.10847,0.88692,0.85226,0.94037,0.72329,0.73766,0.92201,1.27448,0.00055075,0.00055075,0.00055075
14,144.233,0.59408,1.0319,1.0755,0.89983,0.82506,0.94841,0.7278,0.8153,0.93355,1.37543,0.000544563,0.000544563,0.000544563
15,152.967,0.56153,0.9972,1.08325,0.85199,0.89532,0.95515,0.78149,0.67666,0.8688,1.2376,0.000538375,0.000538375,0.000538375
16,162.339,0.57897,0.96676,1.09172,0.9091,0.89187,0.96787,0.77417,0.75626,0.76363,1.36523,0.000532187,0.000532187,0.000532187
17,173.2,0.57743,0.95331,1.08186,0.87657,0.89414,0.94904,0.74292,0.71844,0.85619,1.32403,0.000526,0.000526,0.000526
18,183.265,0.5945,0.9187,1.07563,0.90971,0.85229,0.95361,0.78429,0.70841,0.77461,1.27237,0.000519812,0.000519812,0.000519812
19,193.181,0.55541,0.89993,1.07304,0.80233,0.88806,0.88573,0.67892,0.75049,0.9259,1.23857,0.000513625,0.000513625,0.000513625
20,201.728,0.56047,0.84142,1.06767,0.87477,0.8399,0.94205,0.74555,0.72893,0.8134,1.26199,0.000507438,0.000507438,0.000507438
21,210.343,0.54507,0.8493,1.06392,0.91904,0.89253,0.96443,0.79704,0.72097,0.71183,1.24938,0.00050125,0.00050125,0.00050125
22,218.855,0.56038,0.82381,1.07334,0.86768,0.89878,0.97641,0.80367,0.71631,0.71213,1.25198,0.000495063,0.000495063,0.000495063
23,227.299,0.52205,0.77153,1.0468,0.76928,0.90932,0.94656,0.76491,0.66709,0.82001,1.16508,0.000488875,0.000488875,0.000488875
24,235.869,0.52249,0.78234,1.04691,0.92297,0.86871,0.95695,0.74714,0.74226,0.82637,1.28285,0.000482687,0.000482687,0.000482687
25,244.342,0.52796,0.76581,1.04669,0.96392,0.91803,0.96763,0.75503,0.77121,0.69379,1.30667,0.0004765,0.0004765,0.0004765
26,252.899,0.51835,0.74301,1.04852,0.85001,0.90165,0.90083,0.75201,0.66362,0.69326,1.2004,0.000470312,0.000470312,0.000470312
27,261.448,0.51027,0.72228,1.05016,0.81972,0.91166,0.94409,0.77673,0.68773,0.73448,1.25271,0.000464125,0.000464125,0.000464125
28,270.18,0.51658,0.70817,1.04004,0.87071,0.88092,0.90306,0.75231,0.67097,0.70511,1.22347,0.000457938,0.000457938,0.000457938
29,281.096,0.49901,0.70066,1.03731,0.90236,0.91816,0.97564,0.80438,0.63987,0.62318,1.15582,0.00045175,0.00045175,0.00045175
30,289.478,0.49459,0.68376,1.02695,0.84712,0.91329,0.98161,0.78057,0.66398,0.68721,1.18918,0.000445562,0.000445562,0.000445562
31,299.358,0.49063,0.67103,1.03647,0.86665,0.89883,0.95957,0.80113,0.65853,0.67741,1.1902,0.000439375,0.000439375,0.000439375
32,307.581,0.51592,0.68182,1.04224,0.88537,0.83588,0.94917,0.80227,0.66169,0.6955,1.21005,0.000433187,0.000433187,0.000433187
33,316.2,0.4907,0.68371,1.02816,0.91569,0.92125,0.96515,0.74526,0.61693,0.68342,1.14894,0.000427,0.000427,0.000427
34,323.182,0.4848,0.64683,1.02742,0.78566,0.88905,0.89708,0.71422,0.68341,0.82192,1.16846,0.000420812,0.000420812,0.000420812
35,331.67,0.46704,0.61066,1.01389,0.94251,0.93314,0.9798,0.8382,0.58003,0.5036,1.0991,0.000414625,0.000414625,0.000414625
36,341.72,0.4617,0.60898,1.01019,0.96722,0.9323,0.97511,0.80935,0.63749,0.54072,1.18049,0.000408438,0.000408438,0.000408438
37,350.148,0.46443,0.60666,1.00772,0.92188,0.93241,0.98053,0.80813,0.65726,0.59191,1.20851,0.00040225,0.00040225,0.00040225
38,357.073,0.44904,0.57664,1.01362,0.93142,0.88896,0.96795,0.76102,0.68133,0.65439,1.25738,0.000396063,0.000396063,0.000396063
39,365.582,0.44964,0.57392,1.00857,0.88126,0.93526,0.98995,0.81573,0.66117,0.53487,1.19593,0.000389875,0.000389875,0.000389875
40,374.161,0.44245,0.56766,0.99749,0.94788,0.93551,0.98559,0.80717,0.62451,0.5413,1.16668,0.000383688,0.000383688,0.000383688
41,383.128,0.45956,0.57017,1.01188,0.91206,0.91934,0.92957,0.77405,0.62175,0.58425,1.1425,0.0003775,0.0003775,0.0003775
42,392.736,0.42776,0.54842,0.98964,0.92276,0.92855,0.98182,0.78197,0.59036,0.55653,1.13601,0.000371313,0.000371313,0.000371313
43,401.402,0.41983,0.52657,0.98517,0.89593,0.90968,0.96072,0.76206,0.6477,0.58757,1.21661,0.000365125,0.000365125,0.000365125
44,410.13,0.44917,0.53851,1.00916,0.92028,0.86742,0.96046,0.76121,0.6687,0.61386,1.20222,0.000358938,0.000358938,0.000358938
45,419.843,0.41502,0.50997,0.98903,0.90684,0.9245,0.97617,0.76182,0.64382,0.58652,1.17952,0.00035275,0.00035275,0.00035275
46,428.346,0.43816,0.54094,1.00132,0.92715,0.94778,0.97872,0.8313,0.61287,0.55703,1.17202,0.000346563,0.000346563,0.000346563
47,438.124,0.41278,0.50994,0.98626,0.9585,0.95217,0.98825,0.83593,0.59635,0.46785,1.16909,0.000340375,0.000340375,0.000340375
