epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9152,0.83144,3.72133,1.32275,0.01245,0.9875,0.21967,0.17952,0.73534,3.23643,1.3179,0.000218291,0.000218291,0.000218291
2,16.8278,0.73655,3.29795,1.25755,0.6765,0.32363,0.43303,0.30038,0.74432,2.47149,1.31507,0.000436262,0.000436262,0.000436262
3,22.1952,0.77519,2.81863,1.27636,0.6307,0.45333,0.52823,0.36987,0.88881,2.19413,1.52749,0.000649831,0.000649831,0.000649831
4,27.5235,0.74578,2.33258,1.20834,0.71776,0.52583,0.65084,0.489,0.85112,1.78523,1.48678,0.00064719,0.00064719,0.00064719
5,32.8975,0.78763,2.0284,1.25243,0.42206,0.64833,0.6202,0.46798,1.07264,3.142,1.84466,0.000640587,0.000640587,0.000640587
6,38.2138,0.7994,1.90253,1.25157,0.64154,0.67034,0.75453,0.55279,0.96362,1.66555,1.52478,0.000633983,0.000633983,0.000633983
7,43.6111,0.73822,1.63633,1.21295,0.63118,0.62223,0.6548,0.4969,0.89987,1.76336,1.51699,0.00062738,0.00062738,0.00062738
8,49.062,0.71214,1.53635,1.19939,0.65101,0.86048,0.85289,0.6227,0.76555,1.28714,1.27395,0.000620777,0.000620777,0.000620777
9,54.7124,0.68822,1.42244,1.1552,0.71051,0.79688,0.81304,0.61904,0.84878,1.27759,1.42806,0.000614174,0.000614174,0.000614174
10,60.2143,0.71755,1.36416,1.17708,0.79237,0.82574,0.94825,0.71165,0.74615,1.18534,1.34315,0.00060757,0.00060757,0.00060757
11,65.6373,0.68252,1.28916,1.15594,0.88443,0.77793,0.94607,0.6903,0.83518,0.99801,1.43468,0.000600967,0.000600967,0.000600967
12,71.2813,0.65149,1.20585,1.13582,0.78487,0.92511,0.94491,0.75517,0.66728,0.90461,1.19789,0.000594364,0.000594364,0.000594364
13,76.9768,0.67193,1.21642,1.155,0.77838,0.88203,0.96016,0.68614,0.78544,1.05274,1.33431,0.00058776,0.00058776,0.00058776
14,82.5723,0.67414,1.17276,1.1371,0.85624,0.84902,0.92488,0.66871,0.81245,1.01396,1.42676,0.000581157,0.000581157,0.000581157
15,88.171,0.6105,1.04064,1.10036,0.85167,0.85272,0.94056,0.69464,0.79987,1.01798,1.37268,0.000574554,0.000574554,0.000574554
16,93.6991,0.59075,1.0444,1.10095,0.84939,0.91373,0.94001,0.75946,0.78887,0.88853,1.29582,0.00056795,0.00056795,0.00056795
17,99.5248,0.59789,1.01418,1.10346,0.8582,0.85938,0.91869,0.59193,0.89678,1.22819,1.48944,0.000561347,0.000561347,0.000561347
18,104.989,0.57736,0.95325,1.08135,0.92505,0.85037,0.94526,0.75537,0.73568,0.84811,1.2695,0.000554744,0.000554744,0.000554744
19,110.453,0.5755,0.96251,1.08145,0.79855,0.85207,0.9194,0.71818,0.76211,0.97304,1.33191,0.000548141,0.000548141,0.000548141
20,116.032,0.58815,0.93444,1.08182,0.89024,0.91835,0.96651,0.75639,0.719,0.76456,1.29325,0.000541537,0.000541537,0.000541537
21,121.502,0.56135,0.89699,1.09692,0.83526,0.81026,0.87979,0.70638,0.79735,0.95886,1.41605,0.000534934,0.000534934,0.000534934
22,127.111,0.56657,0.8658,1.08589,0.87043,0.88407,0.9558,0.73725,0.77968,0.7964,1.32286,0.000528331,0.000528331,0.000528331
23,132.598,0.57721,0.87811,1.08963,0.73088,0.95083,0.94104,0.77886,0.67856,0.779,1.21512,0.000521727,0.000521727,0.000521727
24,138.25,0.5566,0.8287,1.08603,0.875,0.85505,0.95592,0.76085,0.68629,0.86146,1.26393,0.000515124,0.000515124,0.000515124
25,143.76,0.51709,0.76569,1.04558,0.85664,0.89649,0.93437,0.74225,0.67358,0.86844,1.25899,0.000508521,0.000508521,0.000508521
26,149.289,0.51816,0.76612,1.04786,0.83619,0.8337,0.89321,0.6413,0.76637,1.08798,1.38501,0.000501917,0.000501917,0.000501917
27,154.855,0.53464,0.74729,1.06439,0.86183,0.86508,0.95717,0.73771,0.77126,0.76151,1.35656,0.000495314,0.000495314,0.000495314
